iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10,0.1048097237944603
1000,-1.0,2.0,9,0.08683084696531296
1500,-1.0,2.0,8,0.047684215009212494
2000,-1.0,2.0,8,0.04605352506041527
2500,-0.89,2.11,9,0.03270226716995239
3000,-0.9,2.1,10,0.014381617307662964
3500,-0.88,2.12,8,0.03712969273328781
4000,-1.0,2.0,8,0.00829556118696928
4500,-0.75,2.25,8,0.030289150774478912
5000,-1.0,2.0,8,0.020350411534309387
5500,-0.64,2.0,11,0.0327300988137722
6000,-1.0,2.0,8,0.020171307027339935
6500,-0.12,2.0,8,0.012442482635378838
7000,-0.12,2.12,8,0.025193223729729652
7500,0.0,2.0,8,0.007176485378295183
8000,-0.75,2.25,8,0.014277712441980839
8500,-0.44,2.0,9,0.003884656820446253
9000,0.0,2.0,8,0.014060663059353828
9500,-0.12,2.12,8,0.01589527539908886
10000,-0.38,2.12,8,0.006952053401619196
10500,-0.12,2.0,8,0.020616130903363228
11000,-0.12,2.12,8,0.012715174816548824
11500,0.12,2.12,8,0.003043928649276495
12000,-0.25,2.0,8,0.006106853019446135
12500,-0.25,2.0,8,0.012675943784415722
13000,-0.25,2.0,8,0.023514296859502792
13500,0.0,2.0,8,0.02069888636469841
14000,-0.25,2.0,8,0.012351224198937416
14500,0.25,2.25,8,0.0017881622770801187
15000,0.12,2.25,8,0.002147001214325428
15500,-0.11,2.11,9,0.0012069825315847993
16000,0.0,2.0,8,0.009857344441115856
16500,0.0,2.12,8,0.009343128651380539
17000,-0.12,2.0,8,0.017575208097696304
17500,0.0,2.12,8,0.013375777751207352
18000,-0.12,2.0,8,0.0010435647564008832
18500,0.12,2.12,8,0.009092213585972786
19000,0.12,2.12,8,0.007140323054045439
19500,0.12,2.38,8,0.002947547473013401
20000,0.38,2.38,8,0.0007572981994599104
20500,0.12,2.25,8,0.008677990175783634
21000,0.11,2.33,9,0.017079703509807587
21500,0.33,2.67,9,0.0012956735445186496
22000,0.0,2.25,8,0.01654190942645073
22500,-0.11,2.44,9,0.013954509980976582
23000,0.38,2.5,8,0.00771967601031065
23500,0.44,2.67,9,0.00797215849161148
24000,0.0,2.0,8,0.011535207740962505
24500,-0.12,2.12,8,0.024806665256619453
25000,0.5,3.0,12,0.0019762578886002302
25500,0.0,2.12,8,0.013100937940180302
26000,0.38,2.38,8,0.00223369849845767
26500,0.25,2.25,8,0.010311594232916832
27000,0.38,2.38,8,0.001972259022295475
27500,0.0,2.44,9,0.011988021433353424
28000,0.33,2.56,9,0.0037686540745198727
28500,0.38,2.5,8,0.00548778148368001
29000,0.4,3.0,10,0.017454365268349648
29500,0.0,2.25,8,0.01762937195599079
30000,0.0,2.12,8,0.014087243936955929
30500,0.25,2.25,8,0.015474741347134113
31000,0.22,2.44,9,0.02186150848865509
31500,0.62,2.75,8,0.018906185403466225
32000,0.5,2.62,8,0.014245427213609219
32500,0.4,2.9,10,0.04174447059631348
33000,0.25,2.25,8,0.01129874773323536
33500,-0.12,2.12,8,0.02804028056561947
34000,0.38,2.38,8,0.01679954305291176
34500,0.62,2.75,8,0.009372345171868801
35000,0.12,2.12,8,0.015196181833744049
35500,0.62,3.08,13,0.009934457018971443
36000,0.64,3.09,11,0.0035451764706522226
36500,0.12,2.25,8,0.010310964658856392
37000,0.38,2.62,8,0.005412625148892403
37500,0.38,2.5,8,0.009681778959929943
38000,0.12,2.12,8,0.023542135953903198
38500,0.44,2.78,9,0.028331346809864044
39000,0.25,2.25,8,0.007085230201482773
39500,0.33,2.56,9,0.04645420238375664
40000,0.25,2.25,8,0.012153452262282372
40500,0.5,2.62,8,0.015811236575245857
41000,0.44,2.78,9,0.013636788353323936
41500,0.38,2.5,8,0.03353709354996681
42000,0.5,2.5,8,0.025483299046754837
42500,0.62,2.75,8,0.006935080513358116
43000,0.5,2.62,8,0.006238227244466543
43500,0.75,2.75,8,0.005833497736603022
44000,1.0,3.33,9,0.012136423960328102
44500,0.0,2.12,8,0.05446771904826164
45000,1.0,3.62,8,0.01543412171304226
45500,1.11,3.56,9,0.03632202371954918
46000,0.5,2.5,8,0.00758978771045804
46500,1.45,4.0,11,0.01606503687798977
47000,1.38,3.5,8,0.019291793927550316
47500,0.5,2.62,8,0.06618019938468933
48000,0.88,3.0,8,0.0033068072516471148
48500,0.88,3.0,8,0.024442268535494804
49000,1.2,3.7,10,0.018122680485248566
49500,0.88,2.88,8,0.04383259639143944
50000,0.12,2.5,8,0.03957606852054596
50500,1.0,4.0,8,0.008169831708073616
51000,1.0,4.0,8,0.0445343479514122
51500,1.12,3.38,8,0.015953797847032547
52000,0.56,3.0,9,0.008270417340099812
52500,0.25,2.38,8,0.005143245682120323
53000,1.2,3.8,10,0.042874954640865326
53500,0.8,3.2,10,0.007127207703888416
54000,0.62,2.88,8,0.01722146011888981
54500,0.75,2.75,8,0.011413884349167347
55000,1.44,3.89,9,0.008454318158328533
55500,1.88,4.88,8,0.0074367886409163475
56000,1.89,4.33,9,0.03259144723415375
56500,1.64,4.27,11,0.039326298981904984
57000,1.3,3.8,10,0.012299166060984135
57500,2.5,5.5,8,0.018349550664424896
58000,2.62,5.62,8,0.05153367668390274
58500,2.38,5.38,8,0.04096600040793419
59000,1.3,3.7,10,0.014747503213584423
59500,0.9,3.4,10,0.03934198245406151
60000,1.62,4.12,8,0.07837706804275513
60500,2.0,5.0,8,0.015812532976269722
61000,1.9,4.4,10,0.008859879337251186
61500,2.62,5.62,8,0.0646057203412056
62000,0.45,3.0,11,0.07919887453317642
62500,2.88,5.88,8,0.017972972244024277
63000,1.4,4.1,10,0.015013162046670914
63500,3.25,6.25,8,0.06358847767114639
64000,2.27,4.82,11,0.019506344571709633
64500,1.12,3.38,8,0.048015862703323364
65000,1.5,3.75,8,0.04204951226711273
65500,3.75,6.75,8,0.01484233234077692
66000,3.25,6.25,8,0.047022439539432526
66500,1.62,4.62,8,0.09020349383354187
67000,2.75,5.33,12,0.052052777260541916
67500,2.25,5.25,8,0.016177551820874214
68000,2.38,5.38,8,0.10174848884344101
68500,2.38,5.38,8,0.08563379943370819
69000,4.0,7.0,8,0.0157852191478014
69500,1.25,4.25,8,0.009152968414127827
70000,1.88,4.88,8,0.0275867972522974
70500,3.62,6.62,8,0.08683975040912628
71000,1.88,4.88,8,0.05691298842430115
71500,2.62,5.62,8,0.10166078805923462
72000,2.82,5.45,11,0.08405916392803192
72500,1.22,3.78,9,0.030896883457899094
73000,3.62,6.62,8,0.1435515582561493
73500,4.38,7.38,8,0.0555843785405159
74000,1.5,4.5,8,0.024081921204924583
74500,3.88,6.88,8,0.07655227184295654
75000,4.25,7.25,8,0.019055841490626335
75500,2.75,5.75,8,0.03570322319865227
76000,3.5,6.5,8,0.0613115169107914
76500,1.78,4.22,9,0.05557694286108017
77000,2.5,5.5,8,0.020984381437301636
77500,3.12,6.12,8,0.12238467484712601
78000,5.12,8.12,8,0.0239559356123209
78500,2.88,5.88,8,0.13902898132801056
79000,5.25,8.25,8,0.122965507209301
79500,5.25,8.25,8,0.07377548515796661
80000,2.88,5.88,8,0.1291339248418808
80500,4.27,6.91,11,0.07431155443191528
81000,3.5,6.5,8,0.07018136978149414
81500,4.25,7.25,8,0.03337723761796951
82000,5.0,8.0,8,0.03210258483886719
82500,3.62,6.62,8,0.020550791174173355
83000,3.25,6.25,8,0.13775797188282013
83500,3.38,6.38,8,0.2310563176870346
84000,4.12,7.12,8,0.059146493673324585
84500,2.88,5.88,8,0.02859194576740265
85000,2.75,5.75,8,0.1451226770877838
85500,4.33,6.78,9,0.07607816904783249
86000,6.88,9.88,8,0.14095056056976318
86500,6.5,9.5,8,0.08304715156555176
87000,3.0,6.0,8,0.038885802030563354
87500,5.62,8.62,8,0.07340852916240692
88000,3.0,6.0,8,0.12365441024303436
88500,4.88,7.88,8,0.05487215891480446
89000,3.0,6.0,8,0.1488952338695526
89500,5.25,8.25,8,0.030138153582811356
90000,6.62,9.62,8,0.04077799618244171
90500,6.62,9.62,8,0.10141932219266891
91000,5.75,8.75,8,0.05090409144759178
91500,7.25,10.25,8,0.05347701907157898
92000,4.67,7.67,9,0.037598248571157455
92500,4.75,7.75,8,0.01663411781191826
93000,5.38,8.38,8,0.03056488186120987
93500,5.38,8.38,8,0.036560215055942535
94000,6.62,9.62,8,0.1427885890007019
94500,1.88,4.88,8,0.09060695767402649
95000,7.38,10.38,8,0.025376303121447563
95500,6.5,9.5,8,0.12630362808704376
96000,5.62,8.62,8,0.030898649245500565
96500,4.25,7.25,8,0.16510029137134552
97000,3.78,6.78,9,0.02735382691025734
97500,7.88,10.88,8,0.10291531682014465
98000,7.25,10.25,8,0.026847263798117638
98500,6.62,9.62,8,0.08700753003358841
99000,5.62,8.62,8,0.0757317990064621
99500,3.12,6.12,8,0.024663694202899933
100000,6.5,9.5,8,0.038354046642780304
100500,4.0,7.0,8,0.12628436088562012
101000,3.88,6.88,8,0.09954221546649933
101500,7.25,10.25,8,0.11344963312149048
102000,5.75,8.75,8,0.045390110462903976
102500,6.75,9.75,8,0.042934615164995193
103000,7.5,10.5,8,0.027441995218396187
103500,3.75,6.75,8,0.07197599112987518
104000,6.25,9.25,8,0.0728573203086853
104500,6.12,9.12,8,0.03922249376773834
105000,2.25,5.25,8,0.03287569433450699
105500,4.38,7.38,8,0.031616561114788055
106000,6.5,9.5,8,0.03674397990107536
106500,6.25,9.25,8,0.03982563689351082
107000,5.0,8.0,8,0.2280147820711136
107500,5.0,8.0,8,0.04020500183105469
108000,7.25,10.25,8,0.029009073972702026
108500,7.5,10.5,8,0.15713907778263092
109000,4.75,7.75,8,0.1607000231742859
109500,8.25,11.25,8,0.04114200174808502
110000,5.0,8.0,8,0.03370412811636925
110500,5.75,8.75,8,0.0519004687666893
111000,5.88,8.88,8,0.18404364585876465
111500,7.5,10.5,8,0.06018807739019394
112000,9.12,12.12,8,0.23156003654003143
112500,7.88,10.88,8,0.11138449609279633
113000,7.25,10.25,8,0.13614407181739807
113500,7.5,10.5,8,0.11006329208612442
114000,8.25,11.25,8,0.037646617740392685
114500,5.5,8.5,8,0.047071076929569244
115000,3.75,6.75,8,0.0758756548166275
115500,6.5,9.5,8,0.041836731135845184
116000,7.25,10.25,8,0.058411918580532074
116500,9.38,12.38,8,0.086875781416893
117000,5.88,8.88,8,0.21342229843139648
117500,8.12,11.12,8,0.2413589060306549
118000,7.12,10.12,8,0.24205297231674194
118500,4.38,7.38,8,0.05307396873831749
119000,10.38,13.38,8,0.06962774693965912
119500,4.88,7.88,8,0.05297836661338806
120000,4.12,7.12,8,0.1305609494447708
120500,9.38,12.38,8,0.031225696206092834
121000,8.5,11.5,8,0.059154096990823746
121500,11.38,14.38,8,0.039423663169145584
122000,7.5,10.5,8,0.021171225234866142
122500,7.75,10.75,8,0.045345790684223175
123000,7.12,10.12,8,0.025403734296560287
123500,6.12,9.12,8,0.25806596875190735
124000,7.5,10.5,8,0.17588301002979279
124500,8.62,11.62,8,0.034877195954322815
125000,10.0,13.0,8,0.04715412110090256
125500,5.25,8.25,8,0.05471622571349144
126000,7.62,10.62,8,0.057287659496068954
126500,5.12,8.12,8,0.10944443196058273
127000,7.88,10.88,8,0.03890226036310196
127500,6.11,9.11,9,0.10839015245437622
128000,3.12,6.12,8,0.408298522233963
128500,7.62,10.62,8,0.039908070117235184
129000,11.12,14.12,8,0.04445534944534302
129500,13.0,16.0,8,0.071108877658844
130000,10.25,13.25,8,0.12618154287338257
130500,8.62,11.62,8,0.15382808446884155
131000,6.67,9.67,9,0.040336158126592636
131500,9.38,12.38,8,0.06017076224088669
132000,7.75,10.75,8,0.12774567306041718
132500,11.25,14.25,8,0.07343673706054688
133000,6.38,9.38,8,0.05418507754802704
133500,13.12,16.12,8,0.09132368117570877
134000,5.62,8.62,8,0.11875039339065552
134500,10.38,13.38,8,0.18236498534679413
135000,8.75,11.75,8,0.10675498098134995
135500,8.75,11.75,8,0.060005299746990204
136000,6.12,9.12,8,0.04855376109480858
136500,8.0,11.0,8,0.15191952884197235
137000,7.38,10.38,8,0.08134638518095016
137500,9.62,12.62,8,0.24903643131256104
138000,6.88,9.88,8,0.023928740993142128
138500,8.62,11.62,8,0.14604000747203827
139000,11.25,14.25,8,0.08772755414247513
139500,7.75,10.75,8,0.07842383533716202
140000,7.88,10.88,8,0.16268683969974518
140500,7.5,10.5,8,0.033196765929460526
141000,6.5,9.5,8,0.037993066012859344
141500,4.88,7.88,8,0.13503406941890717
142000,9.75,12.75,8,0.27750885486602783
142500,7.12,10.12,8,0.09227940440177917
143000,7.12,10.12,8,0.2119828760623932
143500,7.38,10.38,8,0.20616529881954193
144000,6.5,9.5,8,0.11828192323446274
144500,7.5,10.5,8,0.14280323684215546
145000,11.5,14.5,8,0.037638407200574875
145500,7.88,10.88,8,0.053181685507297516
146000,7.75,10.75,8,0.026360806077718735
146500,12.0,15.0,8,0.12211529910564423
147000,7.25,10.25,8,0.06243341788649559
147500,6.38,9.38,8,0.06202191859483719
148000,10.0,13.0,8,0.0786755308508873
148500,3.25,6.25,8,0.07567644864320755
149000,11.38,14.38,8,0.07319706678390503
149500,6.88,9.88,8,0.034583680331707
150000,8.25,11.25,8,0.035216301679611206
150500,2.88,5.88,8,0.058060213923454285
151000,7.25,10.25,8,0.12295360118150711
151500,10.38,13.38,8,0.04160767048597336
152000,6.75,9.75,8,0.21411682665348053
152500,8.0,11.0,8,0.061128098517656326
153000,11.75,14.75,8,0.2121317833662033
153500,9.38,12.38,8,0.04714874178171158
154000,8.62,11.62,8,0.0712893083691597
154500,9.12,12.12,8,0.1354912966489792
155000,9.0,12.0,8,0.030640656128525734
155500,12.25,15.25,8,0.05442936345934868
156000,8.75,11.75,8,0.019153468310832977
156500,9.38,12.38,8,0.08594165742397308
157000,9.67,12.67,9,0.10372073203325272
157500,5.88,8.88,8,0.16209794580936432
158000,11.62,14.62,8,0.14844515919685364
158500,7.75,10.75,8,0.03148868680000305
159000,4.62,7.62,8,0.13756294548511505
159500,12.5,15.5,8,0.0486377514898777
160000,12.62,15.62,8,0.08461224287748337
160500,9.0,12.0,8,0.04716222733259201
161000,10.88,13.88,8,0.07735539227724075
161500,12.5,15.5,8,0.18268322944641113
162000,8.5,11.5,8,0.1170879676938057
162500,9.25,12.25,8,0.13332124054431915
163000,7.12,10.12,8,0.13351844251155853
163500,8.88,11.88,8,0.13024070858955383
164000,8.0,11.0,8,0.1355704963207245
164500,8.5,11.5,8,0.06824427098035812
165000,9.12,12.12,8,0.09424412250518799
165500,10.62,13.62,8,0.049938227981328964
166000,9.12,12.12,8,0.04120704159140587
166500,9.75,12.75,8,0.10164597630500793
167000,5.75,8.75,8,0.0938684269785881
167500,8.0,11.0,8,0.04123731330037117
168000,9.38,12.38,8,0.0949847623705864
168500,6.62,9.62,8,0.0421806275844574
169000,9.75,12.75,8,0.06280738115310669
169500,8.88,11.88,8,0.020155169069767
170000,8.75,11.75,8,0.09308424592018127
170500,13.62,16.62,8,0.08511602878570557
171000,9.88,12.88,8,0.03748782351613045
171500,10.25,13.25,8,0.023887451738119125
172000,11.25,14.25,8,0.03243919834494591
172500,9.5,12.5,8,0.11688976734876633
173000,5.88,8.88,8,0.18310049176216125
173500,11.5,14.5,8,0.045090001076459885
174000,14.5,17.5,8,0.10726424306631088
174500,9.75,12.75,8,0.0766400471329689
175000,11.25,14.25,8,0.10514724254608154
175500,8.0,11.0,8,0.23732790350914001
176000,10.0,13.0,8,0.08383180946111679
176500,8.88,11.88,8,0.056702498346567154
177000,8.12,11.12,8,0.03639814630150795
177500,9.88,12.88,8,0.05049309507012367
178000,7.12,10.12,8,0.12130596488714218
178500,8.88,11.88,8,0.11667103320360184
179000,10.88,13.88,8,0.09567740559577942
179500,12.88,15.88,8,0.0811411514878273
180000,11.62,14.62,8,0.025287311524152756
180500,11.0,14.0,8,0.060693733394145966
181000,11.0,14.0,8,0.04282922297716141
181500,13.62,16.62,8,0.1778101921081543
182000,11.25,14.25,8,0.058133117854595184
182500,10.75,13.75,8,0.1475071907043457
183000,10.75,13.75,8,0.06972242891788483
183500,14.22,17.22,9,0.048447173088788986
184000,7.0,10.0,8,0.05222928896546364
184500,10.75,13.75,8,0.03298502415418625
185000,8.25,11.25,8,0.2375485748052597
185500,10.5,13.5,8,0.025269053876399994
186000,13.0,16.0,8,0.11250956356525421
186500,7.62,10.62,8,0.025503676384687424
187000,12.5,15.5,8,0.15220803022384644
187500,8.12,11.12,8,0.057602398097515106
188000,8.12,11.12,8,0.03722267970442772
188500,8.5,11.5,8,0.07736026495695114
189000,10.25,13.25,8,0.05377097800374031
189500,12.62,15.62,8,0.19713622331619263
190000,14.0,17.0,8,0.11471229046583176
190500,10.62,13.62,8,0.054959431290626526
191000,11.5,14.5,8,0.052058469504117966
191500,12.25,15.25,8,0.016607260331511497
192000,6.12,9.12,8,0.11136738210916519
192500,12.5,15.5,8,0.09735643863677979
193000,5.12,8.12,8,0.04950219392776489
193500,10.0,13.0,8,0.03410310298204422
194000,14.75,17.75,8,0.14715024828910828
194500,9.25,12.25,8,0.14102011919021606
195000,7.62,10.62,8,0.0463135801255703
195500,8.0,11.0,8,0.12199865281581879
196000,10.25,13.25,8,0.03434031456708908
196500,11.33,14.33,9,0.028088655322790146
197000,10.0,13.0,8,0.18485517799854279
197500,13.88,16.88,8,0.03567192330956459
198000,10.0,13.0,8,0.03193144500255585
198500,5.38,8.38,8,0.026805097237229347
199000,7.12,10.12,8,0.03626902028918266
199500,6.0,9.0,8,0.03155434504151344
200000,14.75,17.75,8,0.14351117610931396
